sujet,date,statut
Synthwave et imagerie rétro-futuriste spatiale en décoration,2025-10-12T16:11:57.416634,succès_2025-10-13_09:00
Guardians of the Galaxy : quand les couleurs cosmiques deviennent pop,2025-10-12T16:19:41.226944,échec_publication
Culture rave et nébuleuses fluorescentes dans la déco moderne,2025-10-12T16:23:17.575092,échec_publication
Interstellar et la nouvelle représentation des trous noirs,2025-10-12T16:27:12.139896,succès_2025-10-13_09:00
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T16:32:04.935086,succès_2025-10-13_09:00
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-12T16:41:30.372107,succès_2025-10-13_09:00
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-12T16:48:53.656826,succès_2025-10-13_09:00
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-12T16:53:15.460124,échec_publication
Cosmic Horror : de Lovecraft aux intérieurs gothiques spatiaux,2025-10-12T16:57:11.553343,échec_publication
Mythologies stellaires africaines dans l'art contemporain,2025-10-12T17:00:29.733276,échec_publication
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T17:38:22.666723,succès
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-13T06:58:49.863457,succès
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-13T07:04:34.644217,succès
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-13T07:09:10.602359,succès
Comment choisir une palette de couleurs neutres pour un Airbnb ?,2025-10-13T07:48:48.775953,succès
Quelles sont les meilleures idées de décoration minimaliste pour location saisonnière ?,2025-10-13T07:53:18.247636,succès
Comment les premières maisons de couture parisiennes décoraient-elles leurs salons au XIXe siècle ?,2025-10-18T14:38:10.103239,succès
Pourquoi Yves Saint Laurent collectionnait-il des tableaux de Mondrian ?,2025-10-20T22:02:49.542198,succès
Quelle est l'influence de la peinture cubiste sur les motifs géométriques de la mode des années 1920 ?,2025-10-23T22:02:29.834105,succès
Comment les ateliers de haute couture utilisaient-ils l'art mural pour former l'œil de leurs apprentis ?,2025-10-27T22:03:04.647574,succès
Quel rôle jouait l'art déco dans l'aménagement des boutiques de mode de l'entre-deux-guerres ?,2025-10-30T22:02:38.603712,succès
Pourquoi les mannequins posaient-ils devant des tableaux abstraits dans les années 1960 ?,2025-11-03T22:02:48.627465,succès
Comment la peinture impressionniste a-t-elle influencé les palettes de couleurs des collections printemps-été ?,2025-11-06T22:03:00.844751,succès
Quelle est la relation entre les portraits de cour et l'émergence de la mode comme marqueur social ?,2025-11-10T22:02:52.670058,succès
Pourquoi les créateurs italiens exposaient-ils des œuvres futuristes dans leurs showrooms milanais ?,2025-11-13T22:02:59.529388,succès
Comment Elsa Schiaparelli collaborait-elle avec Salvador Dalí pour créer une atmosphère surréaliste ?,2025-11-17T22:02:54.859505,succès
Quel tableau de Klimt a inspiré les robes dorées de la haute couture viennoise ?,2025-11-20T22:05:07.972339,succès
Pourquoi les défilés des années 1980 intégraient-ils des projections de peintures néo-expressionnistes ?,2025-11-24T22:02:41.539880,succès
Comment les artistes de la figuration narrative ont-ils représenté l'univers des maisons de couture ?,2025-11-27T22:02:30.861976,succès
Quelle est l'origine de l'utilisation des toiles de Jouy dans la décoration des ateliers parisiens ?,2025-12-01T22:03:05.040147,succès
Pourquoi les boutiques Hermès exposent-elles des tableaux équestres du XVIIIe siècle ?,2025-12-04T22:02:52.298047,succès
Comment les peintres préraphaélites ont-ils influencé l'esthétique romantique de la mode britannique ?,2025-12-08T22:03:08.202020,succès
Quel lien existe-t-il entre les natures mortes flamandes et l'art de présenter les accessoires de mode ?,2025-12-11T22:03:02.959754,succès
Pourquoi les photographes de mode choisissaient-ils des fonds picturaux classiques pour leurs campagnes ?,2025-12-15T22:02:46.635135,succès
Comment Diego Rivera a-t-il représenté l'industrie textile mexicaine dans ses fresques murales ?,2025-12-18T22:02:37.682154,succès
Quelle est la signification des tableaux de femmes élégantes dans les salons de couture du Second Empire ?,2025-12-22T22:03:04.469126,succès
